IP,City,Region,Country,Longitude,Latitude,PageViewTime
80.244.82.213,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,7/2/2014 at 13:47:34
188.165.248.41,,,FR,48.8600,2.3500,7/2/2014 at 13:48:18
66.249.81.162,Mountain View,California,US,37.4192,-122.0574,8/2/2014 at 12:6:8
66.249.81.162,Mountain View,California,US,37.4192,-122.0574,8/2/2014 at 12:7:18
192.168.0.101,,,,,8/2/2014 at 21:45:7
192.168.0.101,,,,,8/2/2014 at 21:51:42
192.168.0.101,,,,,9/2/2014 at 3:11:53
192.168.0.101,,,,,9/2/2014 at 3:19:12
192.168.0.100,,,,,9/2/2014 at 11:22:28
192.168.0.100,,,,,9/2/2014 at 11:22:56
192.168.0.101,,,,,9/2/2014 at 11:39:39
192.168.0.101,,,,,9/2/2014 at 12:34:34
130.239.40.117,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,9/2/2014 at 21:28:45
130.239.40.117,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,9/2/2014 at 21:29:25
130.239.40.117,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,9/2/2014 at 21:37:43
130.239.40.117,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,9/2/2014 at 22:24:57
130.239.40.117,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,9/2/2014 at 22:25:4
130.239.40.117,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,9/2/2014 at 23:20:0
130.239.40.117,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,9/2/2014 at 23:27:37
130.239.40.117,Umeå,Vasterbottens Lan,SE,63.8333,20.2500,9/2/2014 at 23:51:51
192.168.0.101,,,,,10/2/2014 at 1:35:40
192.168.0.106,,,,,10/2/2014 at 12:52:12
192.168.0.106,,,,,10/2/2014 at 12:54:4
192.168.0.106,,,,,10/2/2014 at 12:55:26
192.168.0.106,,,,,10/2/2014 at 12:56:30
